,Drug,MAE,MEDAE,MSE,RMSE,MAPE,MDAPE,sum
287,N-acetyl cysteine,0.709910729,0.577819403,0.750381954,0.866245897,7.074165182,6.049444517,16.02796768
285,glutathione,0.691954769,0.508649592,0.872419254,0.934033861,7.792570417,5.649205631,16.44883352
286,alpha-lipoic acid,0.691834748,0.556284885,0.794443655,0.891315688,9.510668159,7.500972062,19.9455192
144,Picolinici-acid,0.576046596,0.451955826,0.576708208,0.759413068,11.3678493,8.782693069,22.51466607
14,Veliparib,0.612138245,0.422939185,0.642979372,0.801859945,12.12986893,8.704207906,23.31399359
132,PFI3,0.617352654,0.52854811,0.627838406,0.792362547,11.26017883,9.942447301,23.76872785
167,LMB_AB2,0.629042924,0.542925822,0.604051042,0.777207206,12.06995292,10.02618201,24.64936192
284,ascorbate (vitamin C),1.107333215,0.908680709,1.961348011,1.40048135,11.19847479,8.839194642,25.41551271
166,LMB_AB1,0.660238714,0.55389621,0.687064033,0.828893258,13.27037442,9.525141662,25.52560829
123,BDILV000379a,0.572478506,0.451724551,0.540755827,0.735361018,13.54957428,9.979528335,25.82942252
173,Carmustine,0.737670481,0.588199882,0.950085808,0.974723452,13.06500536,9.599458148,25.91514313
23,Motesanib,0.698935532,0.539506202,0.922455803,0.960445627,13.8082258,9.273090571,26.20265954
116,Leflunomide,0.637639168,0.52680622,0.652827633,0.807977495,13.11658666,10.4686209,26.21045808
104,Cyclophosphamide,0.669126666,0.564718452,0.761645221,0.872722877,12.76230066,10.61978383,26.25029771
129,CZC24832,0.683805894,0.532420729,0.787922129,0.887649779,13.72128111,9.946973975,26.56005362
50,CCT007093,0.648842102,0.511006753,0.708759461,0.841878531,13.86666074,10.0800275,26.65717509
16,Lenalidomide,0.685312265,0.568744517,0.782250203,0.884449096,13.81330701,10.44684865,27.18091174
117,GSK2801,0.637173817,0.548339211,0.631578805,0.794719325,13.40628333,11.47267518,27.49076966
34,JNK Inhibitor VIII,0.702465556,0.547317075,0.806824832,0.898234286,14.51930599,10.55473202,28.02887976
122,BDF00022089a,0.583630444,0.511016422,0.520381321,0.721374605,13.82148258,12.07861369,28.23649905
280,GSK2830371,0.700421529,0.486611382,0.824290024,0.907904193,16.80634878,9.374738912,29.10031482
242,N27922-53-1,0.716868657,0.584524749,0.815334321,0.902958649,15.3313923,11.49836806,29.84944674
97,AZD1208,0.750591509,0.611231213,0.925660071,0.962112296,15.64421356,11.27825156,30.17206021
164,GSK3337463A,0.705764647,0.593578722,0.810603572,0.900335255,16.10791932,11.07937805,30.19757957
181,Dacarbazine,0.777579193,0.696840553,0.881864336,0.939076321,14.4364343,12.59520105,30.32699576
281,THR-101,0.700127268,0.590214749,0.813989846,0.902213858,16.54696713,11.0430554,30.59656825
119,SGC-CBP30,0.620956709,0.536170141,0.656603081,0.810310484,15.53659994,12.56818297,30.72882333
244,N29087-69-1,0.771227245,0.622997972,0.958470822,0.979015231,16.37238416,11.08582796,30.78992339
160,GSK2256098C,0.63672856,0.465436695,0.66011553,0.812474941,16.5676863,11.6912249,30.83366693
226,GDC0810,0.740609407,0.623272379,0.859816099,0.927262691,15.08953127,12.65217976,30.89267161
27,Vismodegib,0.723626275,0.57678372,0.857756552,0.926151474,15.3745187,12.78087104,31.23970777
82,EPZ004777,0.755695559,0.619526728,0.853539398,0.92387196,15.56808229,12.6052577,31.32597363
218,AGI-5198,0.726300662,0.606858097,0.852555233,0.923339175,16.12143046,12.28227896,31.51276259
250,BIBR-1532,0.74692684,0.603753487,0.89344858,0.94522409,15.81240281,12.59310344,31.59485925
92,Temozolomide,0.920459235,0.779291258,1.314212524,1.146391087,15.37431835,12.64751105,32.1821835
21,SB216763,0.766384632,0.635272343,0.929551886,0.964132712,16.72724959,12.18558145,32.20817261
113,EPZ5676,0.784147426,0.587615027,1.110784045,1.053937401,18.42236203,10.51463653,32.47348247
200,615590,0.644144113,0.507691805,0.706710576,0.840660797,16.86449107,13.3112755,32.87497386
168,LMB_AB3,0.76741007,0.60361665,0.996683128,0.998340187,17.44412447,12.26193855,33.07211305
282,THR-102,0.70707879,0.58144016,0.865620431,0.930387248,17.56013874,12.6535867,33.29825207
228,GSK2578215A,0.780193487,0.688658803,0.901534826,0.949491878,16.58819308,13.56291249,33.47098456
